Datetime,Open_Prices,Low_Prices,High_Prices,Close_Prices,Volume
2025-03-11 11:30:00,220.98,218.5,221.74,218.55,8314074
2025-03-11 12:00:00,221.08,218.44,221.11,218.99,1168390
2025-03-11 12:30:00,218.54,217.45,219.88,217.73,7255751
2025-03-11 13:00:00,218.97,217.41,219.53,218.3,769774
2025-03-11 13:30:00,217.73,217.68,220.98,220.55,6403936
2025-03-11 14:00:00,218.3,218.28,222.7,222.16,802685
2025-03-11 14:30:00,220.55,220.09,223.31,221.8,7110589
2025-03-11 15:00:00,222.18,220.6,223.31,220.78,1140755
2025-03-11 15:30:00,221.82,220.5,222.07,220.86,8198638
2025-03-12 09:30:00,220.23,218.92,221.35,218.93,8849
2025-03-12 10:00:00,221.39,216.0,221.74,216.14,1097365
2025-03-12 10:30:00,218.93,215.08,218.95,216.3,9851
2025-03-12 11:00:00,216.15,214.91,217.88,217.77,804196
2025-03-12 11:30:00,216.3,216.23,218.44,218.44,10209
2025-03-12 12:00:00,217.77,216.88,218.61,217.24,609366
2025-03-12 12:30:00,218.44,217.06,218.49,218.2,10933
2025-03-12 13:00:00,217.27,216.07,218.23,216.08,542578
2025-03-12 13:30:00,218.2,216.05,218.22,216.07,13437
2025-03-12 14:00:00,216.1,215.82,217.09,216.43,499698
2025-03-12 14:30:00,216.07,215.24,216.93,215.63,13077
2025-03-12 15:00:00,216.42,215.05,217.27,216.94,1383321
2025-03-12 15:30:00,215.63,215.33,217.44,217.0,14781
2025-03-13 09:30:00,215.94,214.22,216.84,214.28,11543428
2025-03-13 10:00:00,215.25,213.66,215.93,214.23,829327
2025-03-13 10:30:00,214.3,213.63,214.82,214.04,6000675
2025-03-13 11:00:00,214.24,212.0,214.8,212.07,767480
2025-03-13 11:30:00,214.04,211.64,214.35,211.94,8062598
2025-03-13 12:00:00,212.08,211.13,212.93,211.5,812764
2025-03-13 12:30:00,211.93,210.69,212.93,211.15,5949778
2025-03-13 13:00:00,211.52,210.5,211.69,211.09,552992
2025-03-13 13:30:00,211.14,210.5,212.47,212.29,5034049
2025-03-13 14:00:00,211.1,211.04,212.44,211.92,481825
2025-03-13 14:30:00,212.29,210.36,212.47,210.63,5897570
2025-03-13 15:00:00,211.91,208.43,212.29,209.71,1463052
2025-03-13 15:30:00,210.67,208.42,210.71,209.71,9508816
2025-03-14 10:00:00,211.98,209.58,212.42,211.77,990389
2025-03-14 11:00:00,211.77,211.2,213.96,213.28,707650
2025-03-14 12:00:00,213.27,212.08,213.29,212.89,309497
2025-03-14 13:00:00,212.88,211.96,213.5,212.4,388888
2025-03-14 14:00:00,212.4,210.77,212.69,212.62,589755
2025-03-14 15:00:00,212.62,212.49,213.94,213.28,1030988
2025-03-17 10:00:00,213.73,211.31,214.0,211.39,667826
2025-03-17 11:00:00,211.41,209.97,211.62,210.9,552089
2025-03-17 12:00:00,210.95,210.56,211.89,211.59,273241
2025-03-17 13:00:00,211.54,211.1,213.74,213.65,308494
2025-03-17 14:00:00,213.66,213.51,214.79,214.56,335070
2025-03-17 15:00:00,214.55,213.68,215.21,214.14,856043
2025-03-18 10:00:00,214.42,213.48,215.14,213.71,583889
2025-03-18 11:00:00,213.72,212.66,213.81,213.34,449707
2025-03-18 12:00:00,213.31,211.6,214.0,212.2,594815
2025-03-18 13:00:00,212.19,211.49,212.57,211.82,408297
2025-03-18 14:00:00,211.84,211.69,212.65,212.21,290219
2025-03-18 15:00:00,212.21,211.89,213.28,212.79,780654
2025-03-19 09:30:00,214.22,213.95,218.72,217.145,10563135
2025-03-19 10:30:00,217.17,214.98,217.17,215.669,5067500
2025-03-19 11:30:00,215.7,215.195,216.675,215.31,3161816
2025-03-19 12:30:00,215.29,214.3022,215.3226,214.37,2815389
2025-03-19 13:30:00,214.39,213.78,214.9998,214.27,4834331
2025-03-19 14:30:00,214.25,214.25,217.01,215.4501,6071544
2025-03-19 15:30:00,215.5,214.5,215.69,215.4578,17101903
2025-03-20 09:30:00,213.99,213.01,217.435,216.98,7001995
2025-03-20 10:30:00,216.96,215.81,217.29,215.96,4553196
2025-03-20 11:30:00,215.89,214.06,216.407,214.14,4089580
2025-03-20 12:30:00,214.1401,213.03,214.45,213.245,5149531
2025-03-20 13:30:00,213.27,212.75,213.8406,212.75,3190081
2025-03-20 14:30:00,212.8,212.24,213.3701,212.6522,4533625
2025-03-20 15:30:00,212.7,212.7,214.655,214.176,17332019
2025-03-21 09:30:00,211.76,211.73,214.3404,213.74,19690932
2025-03-21 10:30:00,213.74,213.27,214.82,213.4693,30709400
2025-03-21 11:30:00,213.44,212.695,215.1299,214.655,3844991
2025-03-21 12:30:00,214.6904,214.51,215.47,214.61,3367737
2025-03-21 13:30:00,214.61,214.27,215.01,214.67,3100909
2025-03-21 14:30:00,214.68,214.67,215.36,215.285,4179417
